ชื่อวิชา,รหัสวิชา,หน่วยกิต,คณะต้นสังกัด,กลุ่มสาระ - 64,สมรรถนะ - 67,doc_type,description,CLOs
" กฎหมายสำหรับผู้ประกอบการใหม่
 (Laws for New Entrepreneur)",01453103,3,คณะสังคมศาสตร์,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด",course_info,การจดทะเบียนจัดตั้งธุรกิจ การทำสัญญา ซื้อขายออนไลน์การโฆษณา การจัดการภาษี สิทธิหน้าที่ของผู้ทรงสิทธิบัตร การละเมิดทรัพย์สินทางปัญญา ความสัมพันธ์ของนายจ้าง-ลูกจ้าง หลักประกันทางธุรกิจ การแบ่งทรัพย์สินและเลิกกิจการ การล้มละลาย การฟื้นฟูกิจการ,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1.อธิบายความรู้พื้นฐานทางกฎหมายที่เกี่ยวกับการเป็นผู้ประกอบการ 2. นำเสนอแนวทางในการนำกฎหมายที่เกี่ยวกับผู้ประกอบการไปประยุกต์ใช้กับกรณีศึกษาที่ เกี่ยวข้องในการประกอบกิจการต่าง ๆ 3. แสดงออกถึงการมีคุณธรรม จริยธรรมภายใต้บริบทของการเป็นผู้ประกอบการ
" การเมืองโลกในชีวิตประจำวัน
 (Global Politics in Daily Life)",01455101,3,คณะสังคมศาสตร์,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",course_info,ความรู้ความเข้าใจพื้นฐานเกี่ยวกับมโนทัศน์และประเด็นปัญหาหลักของการเมืองโลก โครงสร้างการเมืองโลกสมัยใหม่แนวโน้มใหม่และประเด็นใหม่ๆ ของการเมืองโลก ผลกระทบของ การเมืองโลกในชีวิตประจำวัน,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. วิเคราะห์ประเด็นปัญหาสำคัญของการเมืองโลกได้ 2. เชื่อมโยงผลกระทบของการเมืองโลกในด้านต่าง ๆ ที่มีต่อประเทศไทยได้ 3. อธิบายความสำคัญของการเมืองโลกที่มีผลต่อชีวิตประจำวันได้
" จิตวิทยาเพื่อชีวิตสมัยใหม่
 (Psychology for Modern Life)",01459101,3,คณะสังคมศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",course_info,การรักษาสมดุลของวิถีชีวิตเพื่อสุขภาพที่ดีการเข้าใจและควบคุมอารมณ์การฝึกสมอง การหากลยุทธ์ที่มีประสิทธิภาพเพื่อการเรียน การเสริมสร้างการเห็นคุณค่าในตนเอง การปรับตัว สู่สังคมสมัยใหม่ การรักษาความรักและความสุขในชีวิตสมัยใหม่ และการเป็นพลเมืองดีในโลก สมัยใหม,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. อธิบายพฤติกรรมของบุคคล 2. นำความรู้ทางจิตวิทยาไปปรับใช้เพื่อดำเนินชีวิตของตนเองและการอยู่ร่วมกับผู้อื่นในสังคม สมัยใหม่
" จิตวิทยากับความหลากหลายของมนุษย์
 (Psychology and Human Diversity)",01459102,3,คณะสังคมศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,การประยุกต์แนวคิดและทฤษฎีทางจิตวิทยาเพื่อความเข้าใจความหลากหลายของมนุษย์ ในด้านชาติพันธุ์วัฒนธรรมและทัศนคติเพื่อความผาสุกในชีวิต,"ผลลัพธ์ที่เกิดขึ้นกับนิสิต
 1. อธิบายพฤติกรรมและความหลากหลายของมนุษย์
 2. เปรียบเทียบมิติที่ส่งผลต่อความหลากหลายของพฤติกรรมมนุษย์
 3. เลือกวิธีการสร้างความสุขในการดำเนินชีวิตของตนเองและการอยู่ร่วมกับผู้อื่น"
" สังคมและวัฒนธรรมไทยร่วมสมัย
 (Contemporary Thai Society and Culture)",01460101,3,คณะสังคมศาสตร์,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",course_info,แนวความคิด รูปแบบ และความสัมพันธ์ทางสังคมและวัฒนธรรมไทยร่วมสมัย การสังเกต การศึกษา และการวิเคราะห์ปรากฏการณ์ทางสังคมร่วมสมัย ความเข้าใจต่อพลวัตและการปรับตัว ทางสังคมและวัฒนธรรม แนวโน้มของความสัมพันธ์ทางสังคมและวัฒนธรรมในการอยู่ร่วมกัน,"ผลลัพธ์ที่เกิดขึ้นกับนิสิต
 1. ยกตัวอย่างปรากฏการณ์สังคมและวัฒนธรรมร่วมสมัยใหม่
 2. บอกความแตกต่างของมุมมองทางสังคมที่เกี่ยวข้องกับปรากฏการณ์ทางสังคมและวัฒนธรรม
ร่วมสมัยได้
 3. ตั้งคำถามเกี่ยวกับปรากฏการณ์ทางสังคมและวัฒนธรรมร่วมสมัยผ่านมุมมองทางสังคมได้
 4. วิเคราะห์เชิงวิพากษ์เกี่ยวกับปรากฎการณ์ทางสังคมและวัฒนธรรมร่วมสมัย
 5. รับผิดชอบงานที่ได้รับมอบหมายและปฏิบัติงานกลุ่มร่วมกับผู"
" ทักษะชีวิตในสังคมไทยสำหรับชาวต่างชาติ 
 (Life Skills in Thai Society for Foreigners)",01931101,3,วิทยาลัยนานาชาติ,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง",course_info,"มารยาทพื้นฐานและทักษะชีวิตที่สำคัญในประเทศไทย มารยาทการรับประทานอาหาร มารยาทการ
เข้าชมสถานที่ท่องเที่ยว การติดต่อสถานที่ราชการและวิธีการเดินทาง การพัฒนาทักษะการฟัง พูด สำนวน
และประโยคในการใช้ภาษาไทยเพื่อการสื่อสารในชีวิตประจำวัน"," ผลลัพธ์ที่เกิดขึ้นกับนิสิต
1 สื่อสารภาษาไทยถูกต้องตามบริบทในชีวิตประจำวัน
2 ปฏิบัติตนตามมารยาทไทยในบริบทต่างๆ ได้"
 Resilien and Sustainable Development Goals,01931102,3,วิทยาลัยนานาชาติ,-,"1- ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7- ด้านการเรียนรู้ตลอดชีวิต
8- ด้านความเป็นพลเมือง",course_info,"Importance of Sustainable Development Goals (SDGs) for Daily Life, society and environment. Social, economic, and political challenges to achieving SDGs. Embracing diversity and change in society. Resilience quotient in daily life. happiness in SDGs adaptation. Thought leadership in SDGs adaptation.","Student Learning Outcomes CLO 1 Explain the importance of Sustainable Development Goals (SDGs) in everyday life and global society. CLO 2 Describe the concept of resilience and how it supports individual well-being and contributes to achieving the SDGs. CLO 3 Analyze the social, economic, and political challenges to achieving the SDGS. CLO 4 Present the Resilience Quotient concept and its application to leadership in SDG adaptation andcreating happiness for yourself and understanding of others."
 Low Carbon Life for a Greener Future,01931103,3,วิทยาลัยนานาชาติ,-,"1- ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
7- ด้านการเรียนรู้ตลอดชีวิต
8- ด้านความเป็นพลเมือง",course_info,"Importance of Sustainable Development Goals (SDGs) for Daily Life, society and environment. Social, economic, and political challenges to achieving SDGs. Embracing diversity and change in society. Resilience quotient in daily life. happiness in SDGs adaptation. Thought leadership in SDGs adaptation.","Student Learning Outcomes CLO 1 Explain the importance of Sustainable Development Goals (SDGs) in everyday life and global society. CLO 2 Describe the concept of resilience and how it supports individual well-being and contributes to achieving the SDGs. CLO 3 Analyze the social, economic, and political challenges to achieving the SDGS. CLO 4 Present the Resilience Quotient concept and its application to leadership in SDG adaptation andcreating happiness for yourself and understanding of others."
 Beverages in Thai Culture,01931104,3,วิทยาลัยนานาชาติ,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,"Thai people have a rich history and culture in fermenting and processing food products, particularly alcoholic and non- alcoholic beverages. Fermenting is one of the oldest food preservation methods in human history, and local wisdom has developed it to become more complex and diverse over time. This knowledge has been passed down through generations, creating unique tastes and extending product preservation. Many Thai non-alcoholic beverages such as Thai herbal drinks are consumed in daily life. Alcohol beverage production in Thailand began with fermenting fruit, honey, or rice for ceremonies or special occasions. Later, fermentation and distillation techniques were used to create various beverage types including Sweet Fermented Rice, Lao U, Sato, and other local beverages. Alcoholic beverages are not only consumed for entertainment but also for social interaction and strengthening community relationships. Local wisdom has been used to develop many beverages such as Sweet Fermented Rice, which uses sticky rice and yeast to create a unique taste. This cultural heritage reflects the relationship between humans and nature, creativity, and adaptability to local environments. Benefits, drawbacks and precaution of Thai cultural beverages consumption is a foundation to develop and maintain these beverages in the future.","Course Learning Outcomes CLO 1 Explain the differences between Thai cultural beverages from different processing methods. CLO 2 Explain the benefits and drawbacks of Thai cultural beverages. CLO 3 Describe how Thai cultural beverages are connected to art, culture and history. CLO 4 Present the art of beverage that students are most interested in."
 Foresight for Life,01931105,3,วิทยาลัยนานาชาติ,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",course_info,"In a world that is changing faster than ever, the ability to think critically about the future has become an essential skill for personal and professional success. ""Foresight for Life"" empowers learners to anticipate change, recognize emerging opportunities and challenges, and make strategic decisions in the face of uncertainty. Rather than relying on predictions, this course teaches a mindset of preparedness and adaptability, helping individuals and organizations navigate complexity with confidence. By mastering foresight tools and techniques, learners can better align their goals with future trends, build resilient plans, and create meaningful impacts in their lives and careers. The course fostersa proactive approach to lifelong learning, career planning, financial security, and digital relevance, ultimately equipping learners to thrive in an unpredictable future.","Course Learning Outcomes CLO1 Describe the concept of foresight and distinguish it from prediction, including its role in navigating uncertainty. CLO2 Identify key personal and societal drivers of change, including emerging technological, social, and environmental trends. CLO3 Apply critical and systems thinking to analyze future challenges using foresight tools for informed decision-making. CLO4 Develop a personal and professional development plan based on foresight principles and future-ready competencies."
 AI Awareness and Literacy,01931106,1,วิทยาลัยนานาชาติ,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",course_info,"Introduction to generative Al. Al literacy and awareness. Generative Al concepts. Ethics and responsibility in Al usage. Configuring and operating Al: permanent and real-time execution, fundamentals of generative Al models, bias & hallucination, model selection. Prompt engineering. Critical prompting and context setting. Evaluating prompt effectiveness. Generative Al tools. Popular tools and platforms. Al in education and work. Usage considerations (privacy& data security). Developing and enhancing teaching materials with Al: creating assessments, grading, and providing feedback with Al. Examples of Al applications in business and industry. Evaluating return on investment (ROI) and risks.","Course Learning Outcomes CLO1 Explain the fundamental concepts and principles of generative Al, including how prompts influence outcomes. CLO2 Apply Al tools to generate meaningful content across various contexts while demonstrating ethical awareness and responsible use. CLO3 Analyze ethical and societal implications of Al use, particularly regarding data privacy, bias, misinformation, and decision-making."
" โรคติดเชื้อรอบตัวเรา
 (Infectious Diseases Around Us)",01950113,3,คณะแพทยศาสตร์,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
8 - ด้านความเป็นพลเมือง",course_info,อาการเจ็บป่วยและบอกวิธีป้องกันการเกิดโรคจากจุลชีพแต่ละประเภท แนวทางการดูแล สุขภาพตนเองเบื้องต้นจากโรคที่เกิดจากจุลชีพได้อย่างเหมาะสม ถูกต้อง และปลอดภัย บูรณาการ ความรู้ทางด้านสุขภาพเพื่อการแนะนำวิธีการการดูแลสุขภาพเบื้องต้นจากจุลชีพที่ก่อโรคให้แก่ ครอบครัวและบุคคลรอบข้าง,ผลลัพธ์ที่เกิดขึ้นกับนิสิต CLO1 อธิบายอาการเจ็บป่วยและบอกวิธีป้องกันการเกิดโรคจากจุลชีพแต่ละประเภท CLO2 นำเสนอแนวทางการดูแลสุขภาพตนเองเบื้องต้นจากจุลชีพให้โทษได้อย่างเหมาะสม ถูกต้อง และปลอดภัย CLO3 แนะนำวิธีการการดูแลสุขภาพเบื้องต้นจากจุลชีพให้โทษให้แก่ครอบครัวและบุคคลรอบข้าง
" อาหารเพื่อมนุษยชาติ
 (Food for Mankind)",01999011,3,วิทยาลัยบูรณาการศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
8 - ด้านความเป็นพลเมือง",course_info,ความสัมพันธ์ของการผลิตอาหารกับความต้องการอาหารของประชากร ชนิดและ แหล่งอาหาร ระบบการผลิตอาหารและการสูญเสียระหว่างการผลิต พฤติกรรมการบริโภค หลักโภชนาการและความสำคัญของการบริโภคอาหารต่อสุขภาพ การถนอมอาหารและการเก็บ รักษา บทบาทขององค์กรต่าง ๆ ที่เกี่ยวกับการจัดการเรื่องอาหารของมนุษยชาติ,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. เชื่อมโยงความสัมพันธ์ของแหล่งผลิตอาหารกับความต้องการของประชากรโลกได้ 2. อธิบายและจัดกลุ่มแหล่งที่มาของอาหารจากภาคการเกษตร ปศุสัตว์ประมง ป่าไม้ได้ 3. ระบุวิธีการแปรรูปอาหารของผลิตภัณฑ์อาหารได้ 4. เลือกบริโภคอาหารที่มีประโยชน์ต่อร่างกายได้ 5. ระบุสาเหตุของปัญหาโภชนาการและแนวทางการแก้ไขเบื้องต้นจากการเลือกบริโภคอาหารได้
" สุขภาพเพื่อชีวิต
 (Health for Life)",01999012,3,วิทยาลัยบูรณาการศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง",course_info,กลไกการกำเนิดและพัฒนาการของมนุษย์บทบาททางเพศ การดูแลส่งเสริมสุขภาพกาย และสุขภาพจิต การป้องกันภาวะการเสี่ยงของบุคคลวัยต่าง ๆ สุขภาพผู้บริโภค สิ่งแวดล้อมและ สุขภาพ ปัจจัยทางครอบครัวที่ส่งผลต่อสุขภาพ ความก้าวหน้าทางวิทยาศาสตร์สุขภาพ มีการศึกษา นอกสถานที่,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. อธิบายแนวทางการดูแลรักษาป้องกันและส่งเสริมสุขภาพทางกายและสุขภาพจิต 2. วางแผนและพัฒนารูปแบบพฤติกรรมเพื่อการมีสุขภาพทางกายและจิตที่ดีของบุคคลในสังคม 3. วิเคราะห์และประเมินแนวโน้มเกี่ยวกับสุขภาพทางกายและจิตใจของบุคคลในทุกระดับได้ 4. เลือกเทคโนโลยีความก้าวหน้าทางวิทยาศาสตร์สุขภาพที่เหมาะสมกับตนเองได้
" พลเมืองดิจิทัล
 (Digital Citizens)",01999013,3,วิทยาลัยบูรณาการศาสตร์,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",course_info,การเป็นพลเมืองดิจิทัล การเข้าถึงดิจิทัล สุขภาวะดิจิทัล การค้าดิจิทัล การสื่อสารดิจิทัล สิทธิและความรับผิดชอบดิจิทัล ความมั่นคงดิจิทัล จริยธรรมและกฎหมายดิจิทัล การรู้ดิจิทัล,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. อธิบายคุณลักษณะของพลเมืองดิจิทัลได้ 2. ใช้เทคโนโลยีดิจิทัลและสารสนเทศได้ 3. สร้างชิ้นงานดิจิทัลได้ 4. มีความรับผิดชอบต่อตนเองและสั
" ภาษาไทยเพื่อการสื่อสารในงานวิชาการและวิชาชีพ 
 (Thai Language for Academic and Professional Communication)
 ***ชื่อเดิม: ภาษาไทยเพื่อการสื่อสาร",01999021,3,วิทยาลัยบูรณาการศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม",course_info,ภาษาไทยในการสื่อสาร และการพัฒนาทักษะการใช้ภาษาไทยในการฟัง การพูด การอ่าน การเขียนด้วยการคิดอย่างมีวิจารณญาณและรู้เท่าทันสื่อ,ผลลัพธ์ที่เกิดขึ้นกับนิสิต CLO 1 อธิบายความสำคัญ หน้าที่ องค์ประกอบของการสื่อสารและการใช้เทคโนโลยีสารสนเทศในด้าน วิชาการและวิชาชีพ ทักษะภาษาไทยเพื่อการรับสารและส่งสาร หลักการรับสารและส่งสารทางวิชาการและวิชาชีพได้ CLO 2 วิเคราะห์ความสำคัญ หน้าที่ องค์ประกอบของการสื่อสารและการใช้เทคโนโลยีสารสนเทศในด้าน วิชาการและวิชาชีพ ทักษะภาษาไทยเพื่อการรับสารและส่งสาร สถานการณ์การรับสารและส่งสารทางวิชาการและ วิชาชีพได้ CLO 3 เลือกสถานการณ์การรับสารและส่งสารทางวิชาการและวิชาชีพจากเทคโนโลยีสารสนเทศได้ CLO 4 ประเมินสถานการณ์การรับสารและส่งสารทางวิชาการและวิชาชีพจากเทคโนโลยีสารสนเทศได้ตาม เกณฑ์การสื่อสาร CLO 5 สร้างบทสนทนารวมทั้งแสดงบทบาทสมมุติทางวิชาการและวิชาชีพ และใช้เทคโนโลยีสารสนเทศได้
" ภาษาไทยในบริบทวัฒนธรรมสำหรับชาวต่างชาติ
 (Thai Language in Cultural Context for Foreigners)
 ***ชื่อเดิม: ภาษาไทยในบริบทวัฒนธรรม",01999022,3,วิทยาลัยบูรณาการศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,ความสัมพันธ์ระหว่างภาษา ความคิด สังคมและวัฒนธรรม ลักษณะของภาษาไทยตามการจัดประเภท ความหมายทางวัฒนธรรมที่แฝงอยู่ในคำ และวลีภาษาไทย คำไทยที่ไม่สามารถแปลข้ามวัฒนธรรม,ผลลัพธ์ที่เกิดขึ้นกับนิสิต CLO 1 พูดสื่อสารด้วยภาษาไทยในสถานการณ์ต่าง ๆ ได้ CLO 2 อธิบายความเชื่อมโยงระหว่างภาษาไทยกับสังคมและวัฒนธรรมไทยได้ CLO 3 อธิบายความแตกต่างระหว่างภาษาไทยกับภาษาแม่ของตนเองได้
" ทักษะความเข้าใจและใช้เทคโนโลยีดิจิทัล
 (Digital Literacy)",01999023,2,วิทยาลัยบูรณาการศาสตร์,ภาษากับการสื่อสาร,"1- ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
7- ด้านการเรียนรู้ตลอดชีวิต
8- ด้านความเป็นพลเมือง",course_info,คอมพิวเตอร์ฮาร์ดแวร์ ซอฟต์แวร์ระบบ ความมั่นคงปลอดภัยทางคอมพิวเตอร์ ซอฟต์แวร์สำนักงานอัตโนมัติ การใช้งานอินเทอร์เน็ต จริยธรรมดิจิทัล,
" มรดกอารยธรรมโลก
 (The Heritage of World Civilizations)",01999031,3,วิทยาลัยบูรณาการศาสตร์,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม",course_info,มรดกอารยธรรมโลกตั้งแต่สมัยก่อนประวัติศาสตร์จนถึงปัจจุบัน ภูมิหลังด้านประวัติศาสตร์ ปรัชญา ศาสนา ภาษา วรรณคดีศิลปะการแสดง ดนตรีศิลปะ,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. อธิบายอารยธรรมโลกในด้านต่าง ๆ ตั้งแต่อดีตจนถึงปัจจุบันได้ 2. แสดงออกถึงความภาคภูมิใจในคุณค่าของมรดกอารยธรรมโลก รวมทั้งของไทยได้ 3. เชื่อมโยงองค์ความรู้เกี่ยวกับอารยธรรมโลกในด้านต่าง ๆ มาใช้อธิบาย แก้ปัญหา หรือประเมิน ค่าปรากฏการณ์ของสังคมในยุคปัจจุบันให้ผู้อื่นเข้าใจได้ 4. แสดงออกซึ่งความรับผิดชอบ ความตรงต่อเวลา และทำงานร่วมกับผู้อื่นได้อย่างราบรื่น
" ไทยศึกษา
 (Thai Studies)",01999032,3,วิทยาลัยบูรณาการศาสตร์,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,ประวัติศาสตร์ศาสนา ภาษา วรรณคดีศิลปะ ดนตรีภูมิปัญญาท้องถิ่นและวิถีของคนไทย ในอดีต ปัจจุบันและแนวโน้มในอนาคต ประสบการณ์ภาคสนาม,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. อธิบายภูมิหลังและพัฒนาการทางสังคมของดินแดนในอาณาเขตประเทศไทยนับแต่สมัยก่อน ประวัติศาสตร์จนถึงสมัยใหม่ 2. อธิบายลักษณะเฉพาะและพัฒนาการรวมถึงความสำคัญของวัฒนธรรมและศิลปะไทยแขนงต่าง ๆ ทั้งที่เป็นวัฒนธรรมหลวงและวัฒนธรรมท้องถิ่น 3. วิเคราะห์ความเปลี่ยนแปลงทางสังคมและวัฒนธรรมไทยในแง่มุมต่างๆ นอกเหนือบทเรียน 4. ทำงานร่วมกับผู้อื่นได้อย่างราบรื่นเพื่อผลิตสื่อสร้างสรรค์ได้ภายในเวลาที่กำหนดโดยมีการวางแผน และการแบ่งหน้าที่รับผิดชอบอย่างเหมาะสม
" ศิลปะการดำเนินชีวิต
 Arts of Living",01999033,3,วิทยาลัยบูรณาการศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง",course_info,การคิดอย่างมีเหตุผล มีจริยธรรม ความคิดสร้างสรรค์ ความเข้าใจชีวิตความเข้าใจตนเองและผู้อื่น การพัฒนาบุคลิกภาพและมารยาทสังคม ครอบครัวกับศิลปะการดำเนินชีวิต ศิลปะการทำงาน และการรู้เท่าทันสื่อในชีวิตประจำวัน,
" ศิลปวิจักษณ์
 (Art Perception)",01999034,3,วิทยาลัยบูรณาการศาสตร์,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,การรับรู้เกี่ยวกับแนวคิด ความงาม หน้าที่ การแสดงออก และคุณค่าของศิลปะใน ชีวิตประจำวัน,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. อธิบายแนวคิดเรื่องความงามในศิลปะแขนงต่าง ๆ 2. ถ่ายทอดความหลากหลาย บทบาท และคุณค่าของความงามของศิลปะ 3. อธิบายแสดงทรรศนะเกี่ยวกับความงามต่อศิลปะแขนงต่าง ๆ ได้ 4. ค้นคว้าข้อมูลจากแหล่งข้อมูลที่หลากหลายเพื่อใช้วิเคราะห์และวิจารณ์ศิลปะแขนง 5. แสดงออกซึ่งความรับผิดชอบ ความตรงต่อเวลา และจรรยาบรรณของนักวิชาการ 6. ทำงานร่วมกับผู้อื่นได้อย่างราบรื่น สามารถแก้ปัญหาที่เกิดขึ้นจากการทำงานได้
" วัฒนธรรมดนตรีกับชีวิต
 (Music Culture in Life)",01999035,3,วิทยาลัยบูรณาการศาสตร์,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม",course_info,การส่งเสริมจินตนาการเพื่อสุนทรีย์และการสร้างสรรค์ความสัมพันธ์ระหว่างดนตรีสังคม วัฒนธรรม และศิลปะแขนงอื่น,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. อธิบายประวัติความเป็นมา หน้าที่และความสำคัญของดนตรีที่มาจากวัฒนธรรมต่าง ๆ ได้ 2. เลือกดนตรีให้เหมาะสมกับกิจกรรมหรือการดำเนินชีวิตประจำวันได้ 3. แสดงออกว่าเกิดความซาบซึ้งในดนตรีที่มาจากวัฒนธรรมต
" ความสุขในพลวัตของชีวิต
 (Happiness amongst Life Dynamics)",01999036,3,วิทยาลัยบูรณาการศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง",course_info,แนวคิดของความสุข พลวัตของชีวิต การเห็นคุณค่าตนเอง การคิดบวก การดูแลสุขภาพ การสร้างครอบครัวให้อบอุ่นและมีความสุข การสร้างนิสัยที่ดีผ่านกิจวัตรประจำวัน ปฏิสัมพันธ์ที่ดี กับบุคคลรอบข้าง ความสุขจากสิ่งแวดล้อม การใช้เทคโนโลยีสารสนเทศอย่างมีความสุข ความสุข ทางการเงิน สัมมาทิฐ,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. อธิบายความเชื่อมโยงของรูปแบบความสุขกับพลวัตของชีวิตได้ 2. อธิบายคุณค่าของตนเองและบุคคลรอบข้างได้ 3. ออกแบบรูปแบบการสร้างความสุขในพลวัตของตนเองได้ 4. ดูแลสุขภาพและจัดการตนเองให้มีควา
